,Aggression,Videos,Electronic_games,Siblings,Nutrition,Parental_Approach,UK.US,UK_US
1,-1.3,-1.46,-1,-0.33,0.21,-4.22,UK,1
2,-1.15,-0.87,-0.04,-0.39,-0.52,-0.13,US,0
3,-1.12,-0.41,-0.04,-0.61,0.08,-0.89,US,0
4,-1.07,-0.84,-0.32,-0.7,-0.11,-1.85,US,0
5,-0.95,0.1,-0.18,0,0.19,1.88,US,0
6,-0.93,-0.15,0.59,0.14,0.13,-1.05,UK,1
7,-0.88,-0.18,-0.2,-0.34,-0.38,-0.65,US,0
8,-0.86,-0.33,-0.1,0.09,0.34,-0.7,UK,1
9,-0.85,0.46,-0.12,0.05,-0.45,1.16,US,0
10,-0.85,-0.38,-0.35,0.34,0.22,0.77,US,0
11,-0.82,-0.19,-0.4,-0.55,-0.95,-0.98,US,0
12,-0.81,-0.4,-0.23,-0.24,0.01,-1.27,US,0
13,-0.76,-0.35,-0.29,0.33,0.39,-2.55,UK,1
14,-0.73,-0.09,0.63,0.3,0.08,1.48,UK,1
15,-0.68,0,0.42,0.24,1.22,0.3,UK,1
16,-0.66,0.02,-0.24,-0.44,-0.14,-0.28,UK,1
17,-0.64,-0.83,-0.88,-0.63,0.11,-2.13,UK,1
18,-0.63,-0.65,-0.27,-0.45,-0.03,-4.46,US,0
19,-0.63,0.05,-0.39,-0.13,0.04,1.54,US,0
20,-0.61,-0.11,0.91,-0.46,0.39,0.14,US,0
21,-0.6,-0.27,-0.12,-0.3,-0.32,-0.86,UK,1
22,-0.6,-0.2,-0.65,-0.51,-0.58,-1.07,US,0
23,-0.59,-0.1,-0.02,-0.29,0.34,-1.01,US,0
24,-0.58,-0.05,0.08,0.05,0.17,-0.11,UK,1
25,-0.58,-0.18,-0.06,-0.09,0.23,-2.02,UK,1
26,-0.58,-0.31,-0.12,-0.26,-0.39,-0.79,US,0
27,-0.58,-0.95,0.33,-0.35,0.15,-1.32,US,0
28,-0.56,0.58,-0.59,0.41,0.21,0.89,US,0
29,-0.55,0.42,-0.29,0.17,0.02,0.72,UK,1
30,-0.54,0.62,0.5,1.03,0.12,-0.94,US,0
31,-0.53,0.15,0.02,0.25,-0.01,0.51,UK,1
32,-0.53,0.29,-0.05,0.47,0.18,0.62,US,0
33,-0.53,-0.33,-0.44,-0.4,-0.49,-2.12,US,0
34,-0.52,0.08,-0.01,0.23,-0.14,-2.19,US,0
35,-0.51,-0.32,0.06,0.48,-0.11,-1.42,UK,1
36,-0.51,-0.4,-0.23,-0.13,-0.01,0.12,US,0
37,-0.5,0.4,-0.46,0.34,-0.22,-0.98,UK,1
38,-0.5,0.3,-0.36,-0.03,-0.03,0.64,UK,1
39,-0.5,0.9,0.28,0.05,-0.09,-1.55,US,0
40,-0.48,0.08,-0.03,-0.38,-0.04,-0.21,US,0
41,-0.48,-0.14,0.03,0.53,0.23,-0.85,US,0
42,-0.47,-0.23,-0.03,-0.41,-0.27,-1.75,UK,1
43,-0.47,-0.23,-0.11,-0.42,-0.24,0.03,UK,1
44,-0.47,0.33,0.36,-0.21,0.1,0.77,US,0
45,-0.47,0.04,-0.44,0.41,0.03,1.11,US,0
46,-0.46,0.35,-0.08,0.22,0.13,0.15,US,0
47,-0.45,-0.79,-0.41,-1.08,-0.82,-3.01,UK,1
48,-0.44,0.2,0.03,0.07,0.08,0.96,UK,1
49,-0.44,-0.48,0.22,-0.85,-0.3,-1.18,US,0
50,-0.44,-0.29,0.15,-0.06,-0.04,0.29,US,0
51,-0.44,0.6,-0.77,0.22,0.45,1.48,US,0
52,-0.42,-0.19,-0.3,-0.21,-0.04,-0.72,UK,1
53,-0.41,0.28,-0.51,-0.16,-0.72,-1.06,UK,1
54,-0.41,-0.09,0.29,0.06,0.47,0.28,UK,1
55,-0.41,0.15,-0.36,0.45,-0.23,-0.88,UK,1
56,-0.41,0.2,0.1,0.12,0.09,0.32,US,0
57,-0.4,-1.06,-1.05,0.29,-0.23,-3.01,UK,1
58,-0.4,-0.31,-0.48,-0.13,-0.18,-2.11,UK,1
59,-0.4,-0.1,-0.21,-0.03,-0.29,-1.06,US,0
60,-0.39,0.14,-0.41,0.9,-0.33,0.2,UK,1
61,-0.39,-0.47,0.93,0.87,0.85,-0.64,US,0
62,-0.39,-0.29,0.11,0.49,0.16,-0.91,US,0
63,-0.38,0.02,-0.18,0.33,0.27,-1.23,UK,1
64,-0.38,-0.03,-0.85,-0.56,0.34,-1.34,US,0
65,-0.38,-0.15,-0.18,-0.35,-0.27,-0.37,US,0
66,-0.38,-0.3,0.67,0.02,0,-0.19,US,0
67,-0.37,0.37,0.09,0.15,0.27,0.43,UK,1
68,-0.37,0.15,0.26,-0.04,0.06,0.31,UK,1
69,-0.37,-0.13,-0.06,0.15,-0.26,-1.11,US,0
70,-0.37,0.23,0.23,-0.23,-1.1,-0.98,US,0
71,-0.36,-0.24,0.86,0.72,0.63,0.42,US,0
72,-0.36,0.03,-0.23,-0.12,-0.37,-0.19,US,0
73,-0.36,0.11,0.09,0.16,0.6,1.42,US,0
74,-0.36,-0.41,-0.56,0.57,0.12,-1.49,US,0
75,-0.35,0.01,-0.04,0.24,-0.07,-0.38,UK,1
76,-0.35,-0.35,-0.11,0.08,-0.05,-0.86,UK,1
77,-0.35,-0.45,0.04,0.55,0.61,0.32,UK,1
78,-0.35,-0.09,-0.26,-0.26,0.11,0.02,UK,1
79,-0.35,-0.19,0.16,0.05,0.3,0.17,UK,1
80,-0.35,0.01,-0.34,-0.5,-0.22,0.03,UK,1
81,-0.35,0.28,-0.48,-0.1,-0.27,2.21,US,0
82,-0.35,0.09,0.25,0.27,-0.16,-0.93,US,0
83,-0.34,0.11,-0.01,-0.26,-0.05,0.84,UK,1
84,-0.34,-0.65,-0.59,-0.09,-0.45,0.27,UK,1
85,-0.34,-0.16,0.22,0.2,0.62,0.26,US,0
86,-0.33,-0.32,-0.68,-0.09,-0.41,-1.79,UK,1
87,-0.33,-0.1,-0.2,-0.03,0.34,-0.47,UK,1
88,-0.33,-0.05,0.14,-0.25,-0.27,-1.26,US,0
89,-0.33,-0.31,0.49,-0.26,-0.58,-0.51,US,0
90,-0.33,-0.02,0.17,0.09,0.11,0.72,US,0
91,-0.32,-0.28,0.03,0.3,-0.18,-1.63,UK,1
92,-0.32,0.7,-0.44,0.13,-0.2,2.1,US,0
93,-0.32,-0.09,-0.14,0.15,0.62,-1.1,US,0
94,-0.31,-0.73,-0.84,-0.12,0.81,-0.97,UK,1
95,-0.31,0.04,0.16,-0.02,0.13,-0.55,UK,1
96,-0.31,0.54,0.77,0.51,0.31,1.46,US,0
97,-0.31,0.11,0.16,0.47,0.14,1.07,US,0
98,-0.31,0.05,-0.41,-0.38,0.35,1,US,0
99,-0.3,-0.15,-0.22,0.12,-0.08,-0.96,UK,1
100,-0.3,0.38,0.07,0.38,0.58,1.03,UK,1
101,-0.3,0.03,-0.88,-1.15,-0.46,-1.57,UK,1
102,-0.3,-0.41,0.8,-0.43,0.4,1.33,US,0
103,-0.29,-0.96,0.34,-0.13,0.44,-1.55,UK,1
104,-0.29,0.26,0.39,-0.12,-0.26,0.2,UK,1
105,-0.29,0.01,-0.49,0.04,-0.54,-0.6,US,0
106,-0.29,0.24,0.56,0.63,0.02,-1.75,US,0
107,-0.29,-0.11,0.25,-0.01,-0.05,-0.31,US,0
108,-0.29,0.02,-0.15,0.09,-0.19,-0.15,US,0
109,-0.28,-0.68,-0.28,-0.89,0.23,0.49,UK,1
110,-0.28,0.02,0.02,0.51,0.05,-0.6,UK,1
111,-0.28,-0.36,-0.2,-0.49,0.21,-1.48,UK,1
112,-0.28,-0.59,0.17,-0.2,0.22,1.31,UK,1
113,-0.27,-0.17,-0.4,-0.03,0.31,0.68,UK,1
114,-0.27,0.36,0.07,0.17,0.32,0.52,US,0
115,-0.27,0.19,0.07,-0.27,0.09,0.42,US,0
116,-0.27,-0.8,-0.56,0.34,0.04,-0.33,US,0
117,-0.26,-0.59,0.06,-0.08,-0.74,-1.18,UK,1
118,-0.26,-0.16,-0.01,-0.09,0.08,-0.13,UK,1
119,-0.26,-0.32,0.25,0.13,-0.26,-1.01,UK,1
120,-0.26,0.7,-0.14,-0.49,-0.16,1.26,US,0
121,-0.26,-0.12,-0.31,-0.11,0.03,-0.43,US,0
122,-0.26,0.13,0.17,0.44,0.27,1.36,US,0
123,-0.25,-0.6,-0.85,0.04,-0.57,-1.16,UK,1
124,-0.25,-0.02,0.18,0.55,0.2,0.63,UK,1
125,-0.25,-0.29,-0.69,-0.49,0.14,-1.05,UK,1
126,-0.25,0.08,-0.42,-0.26,-0.44,0.95,US,0
127,-0.24,0.46,-0.02,0.16,0.14,0.66,UK,1
128,-0.24,0.32,0.27,0.65,-0.12,0.59,UK,1
129,-0.24,-0.46,-0.13,-0.32,0.17,-1.49,US,0
130,-0.24,0.21,0.28,0.05,0.16,0.93,US,0
131,-0.24,-0.5,-0.15,0.71,-0.73,-1.12,US,0
132,-0.23,0.07,0.01,0.01,0.35,0.97,UK,1
133,-0.23,0.33,0.16,0.32,0.33,2.03,UK,1
134,-0.23,-0.33,-0.26,-0.51,-0.96,-2.3,US,0
135,-0.23,-0.47,-0.47,-0.22,-0.57,-1.71,US,0
136,-0.23,0.14,0.13,-0.15,-0.18,-0.69,US,0
137,-0.22,0.11,-0.12,-0.08,0.01,0.41,UK,1
138,-0.22,-0.15,-0.09,-0.25,0.18,0.48,UK,1
